982	295	283	681	425
805	784	923	668	886
441	227	252	307	859
807	446	680	129	740
517	249	629	891	598
321	924	972	900	119
706	797	386	307	470
157	126	762	346	464
535	863	994	995	989
969	461	318	900	314
65	652	906	509	267
228	709	956	676	79
469	508	980	24	428
979	770	614	119	667
923	516	60	540	65
449	827	238	151	14
610	50	706	29	424
905	584	783	962	351
502	446	892	397	495
206	217	367	708	504
303	850	240	31	819
620	919	200	955	966
498	822	919	644	99
870	984	414	706	92
307	188	891	947	222
547	860	846	799	767
226	654	633	212	843
373	913	824	500	293
466	451	231	422	417
585	99	992	354	487
500	552	196	938	239
204	458	845	940	733
658	158	185	25	119
430	995	359	592	705
22	140	758	96	113
879	246	412	341	486
716	507	72	748	350
844	936	814	741	665
756	215	100	462	755
667	150	598	233	888
983	763	447	496	194
991	506	824	439	826
730	136	896	700	71
738	601	803	354	837
564	750	951	399	773
657	257	583	736	881
652	840	731	897	677
285	829	502	705	708
157	178	624	307	889
741	526	990	185	223
977	410	8	608	610
859	914	793	779	830
140	114	150	804	682
727	444	624	116	769
849	709	669	8	374
632	667	64	187	611
342	868	165	951	313
901	735	521	872	745
130	677	169	594	313
60	548	68	23	804
359	160	984	318	349
596	937	100	160	666
912	854	677	384	652
431	157	242	568	897
448	437	422	912	673
106	4	933	853	373
26	536	825	584	757
819	365	884	491	956
476	620	617	43	678
677	909	392	358	831
502	463	8	8	205
451	382	928	346	712
807	448	68	506	554
88	629	846	137	560
376	282	740	295	294
105	552	634	756	787
956	737	272	269	524
825	405	838	382	873
435	419	961	892	128
982	963	69	555	579
773	723	336	815	202
685	68	70	178	167
530	501	340	474	339
943	33	746	531	139
294	421	666	829	589
875	144	176	411	793
164	281	285	346	283
270	320	977	753	420
53	937	671	90	151
506	712	808	437	349
236	658	805	794	982
903	459	327	867	73
37	995	450	969	706
512	139	706	813	834
175	183	449	481	681
456	873	917	4	449
210	790	142	205	799
419	937	11	18	201
435	938	326	302	62
120	612	758	230	442
879	160	94	655	255
591	439	916	481	259
196	552	747	336	525
667	41	965	932	182
632	587	14	40	452
561	414	195	503	268
692	275	432	895	524
927	499	253	2	485
468	657	853	394	856
923	37	130	461	989
808	419	616	540	751
361	105	161	130	684
776	997	600	176	477
803	403	837	949	304
428	894	493	443	272
956	888	244	326	640
471	671	739	746	901
810	691	631	260	312
377	190	606	385	46
539	846	264	624	265
781	769	250	224	754
548	39	973	365	790
535	185	889	4	375
569	881	198	581	898
310	753	733	89	550
597	940	735	913	476
942	450	173	274	14
249	383	755	284	548
31	228	391	954	834
107	627	441	758	957
824	227	673	178	932
596	253	265	198	800
539	72	65	675	755
945	822	604	47	388
442	285	990	5	291
759	253	777	529	529
392	417	65	590	485
832	950	164	826	463
991	351	166	111	765
679	358	618	54	630
228	200	427	475	99
329	536	679	921	919
672	476	815	770	357
957	811	261	420	609
800	131	702	832	720
420	256	863	842	351
827	661	878	167	979
450	581	64	667	754
509	762	406	157	479
636	524	508	683	688
994	692	70	639	456
227	823	268	19	989
248	548	951	791	59
45	275	525	587	382
938	981	197	685	135
357	968	825	528	648
947	775	74	604	637
534	282	690	859	777
478	745	849	922	95
244	507	765	344	376
764	234	143	757	155
642	806	733	519	955
60	557	526	297	590
486	303	769	673	663
299	183	717	317	272
775	545	302	164	219
589	433	775	463	797
560	226	20	498	462
68	165	399	667	337
339	608	812	788	227
331	719	904	40	729
778	207	404	757	469
869	171	921	325	717
803	242	620	798	695
586	63	974	22	662
528	36	182	879	140
518	837	60	954	119
298	461	279	439	937
227	179	884	176	424
229	649	490	639	293
430	322	466	363	874
666	562	528	375	74
171	810	235	364	153
166	314	832	93	35
508	803	578	277	551
184	863	279	328	620
576	748	41	156	276
31	300	353	57	587
307	133	916	785	663
469	813	386	439	274
625	601	72	486	835
519	568	750	773	62
904	907	456	797	399
19	5	165	439	202
341	894	780	716	294
177	593	458	659	865
20	846	14	48	445
437	314	149	950	768
935	981	891	313	787
334	710	309	975	627
557	582	825	687	383
847	441	467	174	417
634	627	703	941	604
114	331	742	870	344
819	502	123	107	447
128	956	398	234	406
362	591	510	99	73
974	888	757	867	824
983	662	598	789	138
271	389	54	594	1
502	935	602	450	20
494	572	113	174	177
217	41	441	454	87
223	582	662	865	852
155	738	953	791	40
154	978	851	761	335
538	940	140	950	631
690	263	968	460	669
234	175	337	500	191
905	477	197	714	577
36	947	544	221	51
580	229	147	593	858
599	775	535	604	55
414	116	373	275	805
800	960	29	119	195
371	219	551	209	649
858	301	683	686	534
927	560	998	834	757
576	572	589	494	569
371	147	792	793	734
746	47	668	232	398
858	19	869	620	410
295	21	852	280	54
442	74	643	991	411
549	394	293	309	597
843	548	696	454	403
991	994	695	792	564
748	701	883	361	288
878	57	60	837	815
487	255	252	803	398
723	682	452	655	999
